,0,1,FPR_actual,size
0,235,3222,0.009526983202189058,10400
1,235,3222,0.009526983202189058,10650
2,235,3222,0.009526983202189058,10900
3,235,3222,0.009526983202189058,11150
4,235,3222,0.009526983202189058,11400
5,235,3222,0.009526983202189058,11650
6,235,3222,0.009526983202189058,11900
7,235,3222,0.009526983202189058,12150
8,235,3222,0.009526983202189058,12400
9,235,3222,0.009526983202189058,12650
10,235,3222,0.009526983202189058,12900
11,235,3222,0.009526983202189058,13150
12,235,3222,0.009526983202189058,13400
