,1,2,3,4,0,FPR_target,FPR_actual,size,5,6,7,8
0,3413,24,6,11,3,0.08333333333333333,0.04405962975364627,10463,,,,
1,3413,24,6,3,3,0.041666666666666664,0.03514208893788044,11661,8.0,,,
2,3413,24,6,3,3,0.020833333333333332,0.033952713236166096,12481,4.0,4.0,,
3,3413,24,6,3,3,0.010416666666666666,0.0322338057052572,12949,4.0,2.0,2.0,
4,3413,24,6,3,3,0.005208333333333333,0.03060320124713131,13205,4.0,2.0,1.0,1.0
5,3413,24,6,3,3,0.0026041666666666665,0.026919651707990756,13219,4.0,2.0,1.0,1.0
6,3413,24,6,3,3,0.0013020833333333333,0.02989170860535429,13220,4.0,2.0,1.0,1.0
7,3413,24,6,3,3,0.0006510416666666666,0.028437539027335014,13221,4.0,2.0,1.0,1.0
8,3413,24,6,3,3,0.0003255208333333333,0.029121985707380123,13221,4.0,2.0,1.0,1.0
9,3413,24,6,3,3,0.00016276041666666666,0.027304642479875758,13221,4.0,2.0,1.0,1.0
10,3413,24,6,3,3,8.138020833333333e-05,0.030328120957621798,13221,4.0,2.0,1.0,1.0
11,3413,24,6,3,3,4.0690104166666664e-05,0.026914786370858316,13221,4.0,2.0,1.0,1.0
12,3413,24,6,3,3,2.0345052083333332e-05,0.03227315831357195,13221,4.0,2.0,1.0,1.0
13,3413,24,6,3,3,1.0172526041666666e-05,0.030549920213189564,13221,4.0,2.0,1.0,1.0
14,3413,24,6,3,3,5.086263020833333e-06,0.031776198378585155,13221,4.0,2.0,1.0,1.0
15,3413,24,6,3,3,2.5431315104166665e-06,0.022105491490991967,13221,4.0,2.0,1.0,1.0
16,3413,24,6,3,3,1.2715657552083333e-06,0.027310000642105665,13221,4.0,2.0,1.0,1.0
17,3413,24,6,3,3,6.357828776041666e-07,0.029154316431859333,13221,4.0,2.0,1.0,1.0
18,3413,24,6,3,3,3.178914388020833e-07,0.030995947897677862,13221,4.0,2.0,1.0,1.0
19,3413,24,6,3,3,1.5894571940104166e-07,0.0333862544767961,13221,4.0,2.0,1.0,1.0
20,3413,24,6,3,3,7.947285970052083e-08,0.02472372443486846,13221,4.0,2.0,1.0,1.0
21,3413,24,6,3,3,3.9736429850260414e-08,0.027957370097796665,13221,4.0,2.0,1.0,1.0
22,3413,24,6,3,3,1.9868214925130207e-08,0.03503771487362117,13221,4.0,2.0,1.0,1.0
23,3413,24,6,3,3,9.934107462565104e-09,0.025873017028655496,13221,4.0,2.0,1.0,1.0
24,3413,24,6,3,3,4.967053731282552e-09,0.027745965607050647,13221,4.0,2.0,1.0,1.0
25,3413,24,6,3,3,2.483526865641276e-09,0.026526338832864132,13221,4.0,2.0,1.0,1.0
