,0,1,FPR_actual,size
0,283405559,2700000,0.009526983202189058,10400
1,283405559,2700000,0.009526983202189058,10650
2,283405559,2700000,0.009526983202189058,10900
3,283405559,2700000,0.009526983202189058,11150
4,283405559,2700000,0.009526983202189058,11400
5,283405559,2700000,0.009526983202189058,11650
6,283405559,2700000,0.009526983202189058,11900
7,283405559,2700000,0.009526983202189058,12150
8,283405559,2700000,0.009526983202189058,12400
9,283405559,2700000,0.009526983202189058,12650
10,283405559,2700000,0.009526983202189058,12900
11,283405559,2700000,0.009526983202189058,13150
12,283405559,2700000,0.009526983202189058,13400
