,size,false_positive_rating,num_regions,optimal_c,model_FP,bloom_FP
0,10400,0.009876305919602656,11,2.400000000000001,2700000,99000
1,10650,0.00987277740730555,12,2.2000000000000006,2700000,98000
2,10900,0.009865720382711336,11,2.500000000000001,2700000,96000
3,11150,0.009526983202189058,12,2.2000000000000006,2700000,0
4,11400,0.010225628637016256,11,2.400000000000001,2700000,198000
5,11650,0.010225628637016256,11,2.400000000000001,2700000,198000
6,11900,0.009878324228636602,11,2.400000000000001,2700000,99572
7,12150,0.009526983202189058,11,2.500000000000001,2700000,0
8,12400,0.010225628637016256,12,2.3000000000000007,2700000,198000
9,12650,0.009526983202189058,11,2.400000000000001,2700000,0
10,12900,0.009877364473291789,11,2.400000000000001,2700000,99300
11,13150,0.009526983202189058,11,2.400000000000001,2700000,0
12,13400,0.009876305919602656,11,2.400000000000001,2700000,99000
