,9,6,8,5,7,2,4,3,1,0,FPR_actual,size,10
0,28368765718.0,624992537,3914369792.0,287478284,861480406,24088680,132211887,67845863,6176836,577712,0.00023000605759694248,12520,
1,28368765718.0,624992537,3624601151.0,311866420,1151249047,16267190,129484446,57749591,2811106,200509,0.00028386702068358607,13520,
2,28368765718.0,624992537,3624601151.0,311866420,1151249047,16267190,129484446,57749591,2811106,200509,0.0001930604608640839,14520,
3,28368765718.0,624992537,3914369792.0,287478284,861480406,24088680,132211887,67845863,6176836,577712,0.0001431605361726219,15520,
4,,1726904601,,937981903,31104721949,35611838,339861916,136626207,6018777,260524,0.00019270740703205218,16520,
5,,1279459922,28368765718.0,470155460,3914369792,15076073,178208427,59531024,2321495,99804,0.00015387013669942114,17520,
6,28368765718.0,470155460,3914369792.0,171159060,1279459922,3032174,62931326,17585072,499255,29936,0.00020680453019989703,18520,
7,3624601151.0,311866420,1151249047.0,129484446,624992537,3522854,55881959,17038654,554993,29936,0.00012107539407151811,19520,28368765718.0
8,28368765718.0,508425218,3914369792.0,241897334,1121669677,6518764,96164059,29200395,946822,29936,0.00013834081430493236,20520,
9,28368765718.0,470155460,3914369792.0,171159060,1279459922,3032174,62931326,17585072,499255,29936,0.00013327317507369122,21520,
10,3914369792.0,229586917,1079115171.0,97998642,550979724,2160775,35125527,9624925,230588,29936,8.864879091345663e-05,22520,28368765718.0
11,3624601151.0,311866420,1151249047.0,129484446,624992537,3522854,55881959,17038654,554993,29936,6.850507152218341e-05,23520,28368765718.0
12,3624601151.0,311866420,1151249047.0,129484446,624992537,3522854,55881959,17038654,554993,29936,4.81154057244676e-05,24520,28368765718.0
