,size,false_positive_rating,num_regions,optimal_c,model_FP,bloom_FP
0,12520,0.00023000605759694248,12,1.8000000000000003,577712,7308600
1,13520,0.00028386702068358607,11,2.0000000000000004,200509,9532663
2,14520,0.0001930604608640839,11,2.0000000000000004,200509,6419107
3,15520,0.0001431605361726219,12,1.8000000000000003,577712,4330892
4,16520,0.00019270740703205218,9,2.3000000000000007,260524,6346975
5,17520,0.00015387013669942114,10,2.2000000000000006,99804,5176078
6,18520,0.00020680453019989703,11,2.2000000000000006,29936,7060969
7,19520,0.00012107539407151811,12,2.0000000000000004,29936,4121492
8,20520,0.00013834081430493236,11,2.1000000000000005,29936,4713488
9,21520,0.00013327317507369122,11,2.2000000000000006,29936,4539729
10,22520,8.864879091345663e-05,12,2.1000000000000005,29936,3009650
11,23520,6.850507152218341e-05,12,2.0000000000000004,29936,2318963
12,24520,4.81154057244676e-05,12,2.0000000000000004,29936,1619843
