,memory,false_positive_rating
0,10000,0.003695
1,30000,0.00035
2,50000,8.5e-05
3,70000,5.5e-05
4,90000,2.5e-05
5,110000,2e-05
6,130000,1.5e-05
7,150000,1.5e-05
8,170000,1.5e-05
9,190000,1.5e-05
