,size,false_positive_rating,num_regions,optimal_c,model_FP,bloom_FP
0,17313,0.0006391468163610832,12,2.5000000000000004,3399072,1891961
1,18313,0.000567264206456535,12,2.5000000000000004,3399072,1296897
2,19313,0.0005429842683988225,12,2.5000000000000004,3399072,1095901
3,20313,0.0005673370477202855,12,2.5000000000000004,3399072,1297500
4,21313,0.0006514805455674781,12,2.5000000000000004,3399072,1994063
5,22313,0.0005790315132985415,12,2.5000000000000004,3399072,1394310
6,23313,0.0006152661160756684,12,2.5000000000000004,3399072,1694270
7,24313,0.0005792372324895318,12,2.5000000000000004,3399072,1396013
8,25313,0.0005672755614794082,12,2.5000000000000004,3399072,1296991
9,26313,0.0006156434893890293,12,2.5000000000000004,3399072,1697394
10,27313,0.0006759442175591284,12,2.5000000000000004,3399072,2196580
11,28313,0.0005192056425211511,12,2.5000000000000004,3399072,899055
