,0,1,2,3,4,5,6,7,FPR_actual,size
0,32856216028,691319167,54783064,7521726,968676,1082671,457721.0,1623161.0,0.003538122158986256,26767
1,32856216028,691319167,54783064,7521726,968676,1082671,457721.0,1623161.0,0.0019160559084534388,35767
2,32856216028,691319167,54783064,9573073,457721,1623161,,,0.001189859028803297,44767
3,32856216028,691319167,54783064,8490402,1082671,457721,1623161.0,,0.0007459563138673919,53767
4,32856216028,691319167,54783064,8490402,1082671,457721,1623161.0,,0.0004306889702107248,62767
5,32856216028,691319167,54783064,7521726,968676,1082671,457721.0,1623161.0,0.0002733418299778121,71767
6,32856216028,691319167,54783064,7521726,968676,1082671,457721.0,1623161.0,0.00018391222792113257,80767
7,32856216028,691319167,54783064,7521726,968676,1082671,457721.0,1623161.0,0.00012909145365467176,89767
8,32856216028,691319167,54783064,8490402,1082671,457721,1623161.0,,9.271559673160817e-05,98767
9,32856216028,691319167,54783064,7521726,968676,1082671,457721.0,1623161.0,7.567352689302681e-05,107767
10,32856216028,691319167,54783064,7521726,968676,1082671,457721.0,1623161.0,5.855074267189153e-05,116767
