,0,3,1,2,4,FPR_target,FPR_actual,size,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
28,46851,489,55431,1300,185,3.104408582051595e-10,0.007660020492691421,102116,82.0,43.0,26.0,20.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
29,45425,489,56857,1300,185,1.5522042910257974e-10,0.007523980932389308,104048,82.0,43.0,26.0,20.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
30,44030,489,58252,1300,185,7.761021455128987e-11,0.00745442000739318,105938,82.0,43.0,26.0,20.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
31,42672,489,59610,1300,185,3.8805107275644936e-11,0.007561995154328475,107778,82.0,43.0,26.0,20.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
32,41272,489,61010,1300,185,1.9402553637822468e-11,0.007460486056317771,109675,82.0,43.0,26.0,20.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
33,39954,489,62328,1300,185,9.701276818911234e-12,0.007720732240383948,111461,82.0,43.0,26.0,20.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
34,38491,489,63791,1300,185,4.850638409455617e-12,0.007901567934579837,113444,82.0,43.0,26.0,20.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
35,37151,489,65131,1300,185,2.4253192047278085e-12,0.007775002143041874,115259,82.0,43.0,26.0,20.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
36,35797,489,66485,1300,185,1.2126596023639042e-12,0.00788685411269496,117094,82.0,43.0,26.0,20.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
37,34385,489,67897,1300,185,6.063298011819521e-13,0.00809095275228218,119007,82.0,43.0,26.0,20.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
38,32998,489,69284,1300,185,3.0316490059097606e-13,0.007866699190340444,120886,82.0,43.0,26.0,20.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
