,size,false_positive_rating,num_regions,optimal_c,model_FP,bloom_FP
0,521,1.1753387328152846e-07,12,2.400000000000001,27,4003
1,1021,5.917524290030304e-08,11,2.500000000000001,27,2002
2,1521,5.917524290030304e-08,11,2.400000000000001,27,2002
3,2021,5.917524290030304e-08,12,2.3000000000000007,27,2002
4,2521,5.917524290030304e-08,11,2.400000000000001,27,2002
5,3021,7.874477862534165e-10,11,2.400000000000001,27,0
