,0,1,2,3,5,4,6,7,FPR_actual,size
0,291711949717,4728281,4245737,282223.0,44192.0,54658.0,11606.0,9688.0,9.93058730027372e-05,2229
1,291711949717,4728281,4245737,282223.0,44192.0,54658.0,11606.0,9688.0,9.141242171742862e-05,6229
2,291711949717,8974018,336881,44192.0,9688.0,11606.0,,,1.778735288797352e-06,10229
3,291711949717,8974018,381073,11606.0,,9688.0,,,3.320977746532294e-08,14229
4,291711949717,9366697,9688,,,,,,3.320977746532294e-08,18229
5,291711949717,9366697,9688,,,,,,3.320977746532294e-08,22229
6,291711949717,9366697,9688,,,,,,3.320977746532294e-08,26229
7,291711949717,9366697,9688,,,,,,3.320977746532294e-08,28653
8,291711949717,9366697,9688,,,,,,3.320977746532294e-08,30653
