,2,3,0,1,5,4,6,7,FPR_actual,size
0,95,50.0,254,29,32.0,27.0,40.0,2473.0,9.930586957480807e-05,2200
1,95,50.0,254,29,32.0,27.0,40.0,2473.0,9.930586957480807e-05,4200
2,95,50.0,254,29,32.0,27.0,40.0,2473.0,8.804223604815534e-05,6200
3,40,2473.0,254,233,,,,,1.3070337289267132e-05,8200
4,2473,,254,273,,,,,2.4500506469183726e-06,10200
5,2473,,254,273,,,,,4.101414372825654e-07,12200
6,2473,,254,273,,,,,3.3206349536187375e-08,14200
7,2473,,254,273,,,,,3.3206349536187375e-08,16200
8,2473,,254,273,,,,,3.3206349536187375e-08,18200
9,2473,,254,273,,,,,3.3206349536187375e-08,20200
10,2473,,254,273,,,,,3.3206349536187375e-08,22200
11,2473,,254,273,,,,,3.3206349536187375e-08,24200
12,2473,,254,273,,,,,3.3206349536187375e-08,26200
13,2473,,254,273,,,,,3.3206349536187375e-08,28200
