,size,false_positive_rating,model_FP,bloom_FP
0,2229,9.93058730027372e-05,9688,28959952
1,6229,9.141242171742862e-05,9688,26657264
2,10229,1.778735288797352e-06,9688,509207
3,14229,3.320977746532294e-08,9688,0
4,18229,3.320977746532294e-08,9688,0
5,22229,3.320977746532294e-08,9688,0
6,26229,3.320977746532294e-08,9688,0
7,28653,3.320977746532294e-08,9688,0
8,30653,3.320977746532294e-08,9688,0
