,size,false_positive_rating
0,2680,0.676605
1,3680,0.562046
2,4680,0.469923
3,5680,0.40996066666666664
4,6680,0.357523
5,7680,0.32390766666666665
6,8680,0.25484833333333334
7,9680,0.21480566666666667
8,10680,0.18491233333333335
9,11680,0.163235
10,12680,0.14301966666666666
11,13680,0.11027566666666666
12,14680,0.09701966666666667
13,15680,0.08209066666666667
14,16680,0.07140166666666667
15,17680,0.060757
16,18680,0.051506666666666666
17,19680,0.043430333333333335
18,20680,0.037879
19,21680,0.031007
20,22680,0.02609
21,23680,0.021799333333333334
22,24680,0.019829666666666666
23,25680,0.01708
24,26680,0.013644666666666666
25,27680,0.011679
26,28680,0.009806
