,0,1,2,3,FPR_actual,size
0,345345,334,32.0,27.0,8.098618028680678e-05,3900
1,345345,334,32.0,27.0,7.80938167051351e-05,4900
2,345679,32,27.0,,7.80938167051351e-05,5900
3,345711,27,,,7.80938167051351e-05,6900
4,345711,27,,,8.098618028680678e-05,7900
5,345711,27,,,7.80938167051351e-05,8900
6,345711,27,,,7.80938167051351e-05,9900
7,345711,27,,,7.80938167051351e-05,10900
8,345711,27,,,7.80938167051351e-05,11900
9,345711,27,,,7.80938167051351e-05,12900
10,345711,27,,,7.80938167051351e-05,13900
