,2,1,0,3,FPR_actual,size
0,109.0,96,30,3222.0,8.098618028680678e-05,3900
1,109.0,96,30,3222.0,7.80938167051351e-05,4900
2,3222.0,109,126,,7.80938167051351e-05,5900
3,,3222,235,,7.80938167051351e-05,6900
4,,3222,235,,8.098618028680678e-05,7900
5,,3222,235,,7.80938167051351e-05,8900
6,,3222,235,,7.80938167051351e-05,9900
7,,3222,235,,7.80938167051351e-05,10900
8,,3222,235,,7.80938167051351e-05,11900
9,,3222,235,,7.80938167051351e-05,12900
10,,3222,235,,7.80938167051351e-05,13900
