,10,8,7,9,5,6,4,3,2,1,0,FPR_actual,size
0,309655.0,9329,4460,19070,733,1827,325,205,75,32,27,9.544799819516513e-05,3900
1,,20955,8245,311387,1205,3141,447,209,90,32,27,8.387854386847844e-05,4900
2,,20955,8245,311387,1205,3141,447,209,90,32,27,8.387854386847844e-05,5900
3,,20955,8245,311387,1205,3141,447,209,90,32,27,8.966327103182178e-05,6900
4,,20955,8245,311387,1267,2997,471,219,138,32,27,8.387854386847844e-05,7900
5,,20955,8245,311387,1205,3141,447,209,90,32,27,8.098618028680678e-05,8900
6,,20955,8245,311387,1267,2997,471,219,138,32,27,8.387854386847844e-05,9900
7,,20955,8245,311387,1267,2997,471,219,138,32,27,8.098618028680678e-05,10900
8,,20955,8245,311387,1267,2997,471,219,138,32,27,8.387854386847844e-05,11900
9,,20955,8245,311387,1267,2997,471,219,138,32,27,8.677090745015011e-05,12900
10,,20955,8245,311387,1267,2997,471,219,138,32,27,8.098618028680678e-05,13900
