,memory,false_positive_rating
0,150000,0.0032452319386356144
1,200000,0.001501136698887597
2,250000,0.0012003308863937432
3,300000,0.0011453759783419816
4,350000,0.001070174525218518
5,400000,0.0009776188906050246
6,450000,0.0008185388936130828
7,500000,0.0007462298040712909
8,550000,0.0007780458034696793
9,600000,0.0006623512602028126
10,650000,0.000685490168856186
11,700000,0.0006739207145294992
12,750000,0.0006507818058761258
13,800000,0.0006739207145294992
14,850000,0.0006623512602028126
15,900000,0.0006710283509478275
16,950000,0.0006421047151311108
17,1000000,0.0006652436237844842
18,1050000,0.0006392123515494392
19,1100000,0.0006305352608044242
20,1150000,0.0006739207145294992
21,1200000,0.0006276428972227525
22,1250000,0.0006218581700594091
23,1300000,0.0006334276243860959
24,1350000,0.0006392123515494392
25,1400000,0.0006189658064777375
26,1450000,0.0006247505336410808
27,1500000,0.0006334276243860959
