,memory,false_positive_rating
0,100,0.00271882176677137
1,300,0.00271882176677137
2,500,0.00271882176677137
3,700,0.00271882176677137
4,900,0.00271882176677137
5,1100,0.00271882176677137
6,1300,0.00271882176677137
7,1500,0.00271882176677137
8,1700,0.00271882176677137
9,1900,0.00271882176677137
10,2100,0.00271882176677137
11,2300,0.00271882176677137
12,2500,0.00271882176677137
13,2700,0.00271882176677137
14,2900,0.00271882176677137
15,3100,0.00271882176677137
16,3300,0.00271882176677137
17,3500,0.00271882176677137
18,3700,0.0022357970486322014
19,3900,0.0020680399608952443
20,4100,0.0019523454176283775
21,4300,0.0018366508743615107
22,4500,0.0016255083328994787
23,4700,0.001466428335907537
24,4900,0.0014808901538158952
