,memory,false_positive_rating
0,100,0.0043414377360891775
1,10100,0.004214173738495624
2,20100,0.001553199243357687
3,30100,0.0011511607055053248
4,40100,0.0010036501628400696
5,50100,0.0007953999849597094
6,60100,0.0006739207145294992
7,70100,0.0005842574434976774
8,80100,0.0005148407175375574
9,90100,0.000483024718139169
10,100100,0.0004888094453025123
11,110100,0.0003528683569639438
12,120100,0.0003441912662189288
13,130100,0.00030948290323886877
14,140100,0.00032972944831057043
15,150100,0.00030659053965719705
16,160100,0.00030080581249385374
17,170100,0.0002863439945854954
18,180100,0.0002747745402588087
19,190100,0.00027188217667713704
