,memory,false_positive_rating
1,10100,0.006455755514291168
2,20100,0.003282832665197346
3,30100,0.002704359948863012
4,40100,0.002501894498145995
5,50100,0.002368845773389098
6,60100,0.0018221890564531524
7,70100,0.0014606436087441935
8,80100,0.0013218101568239534
9,90100,0.0012263621586287882
10,100100,0.0010990981610352348
11,110100,0.000789615257796366
12,120100,0.0006825978052745142
13,130100,0.0005495490805176174
14,140100,0.00041650035576072057
15,150100,0.00042806981008740725
16,160100,0.00036733017487230215
17,170100,0.00026609744951379367
18,180100,0.00026031272235045035
19,190100,0.0001966807235536736
