,memory,false_positive_rating
1,10100,0.001307348338915595
2,20100,0.0005408719897726024
3,30100,0.00032683708472889877
4,40100,0.00019957308713534525
5,50100,0.00014172581550191187
6,60100,0.00011858690684853849
7,70100,0.00013304872475689684
8,80100,0.00011280217968519514
9,90100,0.00010412508894018014
10,100100,0.00012147927043021016
11,110100,0.00010412508894018014
12,120100,9.83403617768368e-05
13,130100,8.677090745015011e-05
14,140100,9.544799819516513e-05
15,150100,0.00010701745252185181
16,160100,0.00010123272535850847
17,170100,8.966327103182178e-05
18,180100,9.544799819516513e-05
19,190100,8.677090745015011e-05
