,memory,false_positive_rating,false_positive_target,t_val,FPR_from_zero_k,bits_set
0,932,0.1335953814738328,0.2,9.441375732421875e-05,0.12206063551012616,12
1,1772,0.12663635469633075,0.1,0.00017220526933670044,0.12206063551012616,11
2,2237,0.12590169434658616,0.08,0.000217437744140625,0.12206063551012616,12
3,2952,0.03095985977821356,0.06,0.00028693675994873047,0.025808560239256314,18
4,759,0.04269996355621887,0.04,0.000335693359375,0.020819233060872685,21
5,759,0.03295559064956701,0.03,0.000335693359375,0.003132429758950419,28
6,514,0.017024452041719453,0.02,0.0004731714725494385,0.003126645031787076,39
7,3853,0.22556965100741025,0.01,0.000244140625,0.0,2400
