,memory,false_positive_rating
0,50000,0.00015907999699194187
1,100000,9.255563461349345e-05
2,150000,8.098618028680678e-05
3,200000,8.387854386847844e-05
4,250000,9.255563461349345e-05
5,300000,8.387854386847844e-05
6,350000,8.387854386847844e-05
7,400000,7.80938167051351e-05
8,450000,8.677090745015011e-05
9,500000,7.80938167051351e-05
10,550000,7.80938167051351e-05
11,600000,8.387854386847844e-05
