,memory,false_positive_rating,false_positive_target,t_val,FPR_from_zero_k,bits_set
0,10311705,0.12206063551012616,0.2,0.03125,0.12206063551012616,16
1,10311705,0.12206352787370783,0.1,0.015625,0.12206063551012616,16
2,10311705,0.12206063551012616,0.08,0.0126953125,0.12206063551012616,16
3,15444727,0.025805667875674645,0.06,0.0107421875,0.025805667875674645,24
4,14824753,0.025808560239256314,0.04,0.0068359375,0.025808560239256314,22
5,15749195,0.025007375527133262,0.03,0.005859375,0.025007375527133262,24
6,16814292,0.018644175647455588,0.02,0.0048828125,0.018644175647455588,24
7,17053745,0.003132429758950419,0.01,0.0029296875,0.0031295373953687472,39
