,memory,false_positive_rating
0,150000,0.5020882865059669
1,200000,0.40684275376151885
2,250000,0.3414869062700658
3,300000,0.29499505405827536
4,350000,0.20410831323140644
5,400000,0.16423708125806247
6,450000,0.13730339158553587
7,500000,0.1014959304444406
8,550000,0.08140557300614916
9,600000,0.06725902272819302
10,650000,0.05147828702659239
11,700000,0.0404815206890767
12,750000,0.03321301100833579
13,800000,0.025377598065587238
14,850000,0.01980979817086927
15,900000,0.01677860113727736
16,950000,0.012602028125343468
17,1000000,0.010403831803272999
18,1050000,0.008402316204756203
19,1100000,0.006438401332801138
20,1150000,0.00528145590013247
21,1200000,0.004182357739097235
22,1250000,0.003019627579265224
23,1300000,0.002658082131556265
24,1350000,0.001920529418229989
25,1400000,0.0015155985167959554
26,1450000,0.0011916537956487283
27,1500000,0.0009862959813500395
