,6,4,8,7,5,3,2,1,0,FPR,size,11,9,12,10
0,297004,116456,761337,474710,185668,73005,45395,28538,17887,0.0112075,5000,,,,
1,12416,2788,54296,25963,5827,1311,755,270,150,0.0003015,15000,501871.0,114498.0,1041164.0,238691.0
2,7912,1462,41942,18264,3462,752,265,106,65,8.05e-05,25000,507342.0,96506.0,1100942.0,220980.0
3,5717,989,35713,14339,2271,392,129,62,20,3.35e-05,35000,555843.0,89318.0,1072436.0,222771.0
4,6308,1160,36773,15394,2666,503,178,73,42,3.2e-05,45000,506820.0,88551.0,1130064.0,211468.0
5,6308,1160,36773,15394,2666,503,178,73,42,2.85e-05,55000,506820.0,88551.0,1130064.0,211468.0
6,5717,989,35713,14339,2271,392,129,62,20,1.55e-05,65000,555843.0,89318.0,1072436.0,222771.0
