,6,3,7,2,5,1,4,0,FPR,size
0,438.0,234,183.0,612,223,333,210,7767,0.000913,5000
1,438.0,234,183.0,612,223,333,210,7767,0.000408,15000
2,183.0,444,,612,438,333,223,7767,5.7e-05,25000
3,438.0,234,183.0,612,223,333,210,7767,1.85e-05,35000
4,183.0,444,,612,438,333,223,7767,1.5e-05,45000
5,,223,,963,183,426,438,7767,1.5e-05,55000
6,,223,,963,183,426,438,7767,1.5e-05,65000
