,memory,false_positive_rating,false_positive_target,t_val
0,790,0.7356032602722292,0.8,0.0859375
1,15602,0.2452464004535226,0.4,0.091796875
2,17129,0.2306573185475707,0.2,0.10546875
3,35983,0.09136976554500807,0.1,0.140625
4,56696,0.04730749874182184,0.05,0.1728515625
5,90208,0.02607755005235178,0.025,0.2109375
6,119337,0.01310819175213601,0.0125,0.2421875
7,140422,0.006244612972829137,0.00625,0.275390625
8,212392,0.003115075577460389,0.003125,0.34375
