,memory,false_positive_rating
0,100,0.0033753882998108393
1,10100,0.001289994157425565
2,20100,0.0004020385378523622
3,30100,0.00026031272235045035
4,40100,0.0001880036328086586
5,50100,0.00011569454326686682
6,60100,8.966327103182178e-05
7,70100,8.098618028680678e-05
8,80100,8.387854386847844e-05
9,90100,8.387854386847844e-05
10,100100,7.80938167051351e-05
11,110100,7.80938167051351e-05
12,120100,7.80938167051351e-05
13,130100,7.80938167051351e-05
14,140100,7.80938167051351e-05
15,150100,7.80938167051351e-05
16,160100,7.80938167051351e-05
17,170100,7.80938167051351e-05
18,180100,7.80938167051351e-05
19,190100,7.80938167051351e-05
