,2,1,0,3,FPR_actual,size
0,109.0,96,30,3222.0,3.2159950885246014e-07,3800
1,109.0,96,30,3222.0,7.874477862534165e-10,4300
2,3222.0,109,126,,7.874477862534165e-10,4800
3,3222.0,109,126,,7.874477862534165e-10,5300
4,,3222,235,,5.833734012626376e-06,5800
5,3222.0,109,126,,7.874477862534165e-10,6300
6,,3222,235,,7.874477862534165e-10,6800
7,,3222,235,,7.874477862534165e-10,7300
8,,3222,235,,7.874477862534165e-10,7800
9,,3222,235,,7.874477862534165e-10,8300
10,,3222,235,,7.874477862534165e-10,8800
11,,3222,235,,7.874477862534165e-10,9300
12,,3222,235,,7.874477862534165e-10,9800
13,,3222,235,,7.874477862534165e-10,10300
14,,3222,235,,7.874477862534165e-10,10800
