,size,false_positive_rating,false_positive_target,FPR_from_zero_k,bits_set,pct_ones
0,3803,0.004307103940526479,0.5,0.0042433646794719755,33,0.008677359978963977
1,5496,0.0013384669984562259,0.25,0.0013002377208767033,51,0.009279475982532752
2,7324,0.00048584300538326297,0.125,0.0004784769271491207,71,0.009694156198798471
3,9234,0.0002339309050933612,0.0625,0.00022700582678390638,93,0.010071474983755685
4,10007,0.0001079201856567744,0.03125,0.00010707437924080579,115,0.01149195563105826
5,10191,3.3585173022452476e-05,0.015625,3.300187836642778e-05,129,0.012658227848101266
6,10338,1.7201096923573138e-05,0.0078125,1.562620135230645e-05,148,0.014316115302766493
7,10432,6.168661799521996e-06,0.00390625,5.847791409242809e-06,182,0.017446319018404908
8,10534,1.5766746199675603e-06,0.001953125,8.730754411377681e-07,238,0.022593506740079743
9,10640,1.3540602144957343e-06,0.0009765625,5.56463101847562e-08,346,0.032518796992481204
10,10642,1.0706956705989359e-06,0.00048828125,2.0590301357671842e-08,350,0.032888554782935536
11,10644,5.034707823477182e-07,0.000244140625,7.874477856333425e-10,353,0.03316422397594889
12,10644,5.001460028083774e-07,0.0001220703125,7.874477856333425e-10,360,0.033821871476888386
13,10644,1.6121680997866632e-06,6.103515625e-05,7.874477856333425e-10,362,0.0340097707628711
14,10644,7.767734934280905e-07,3.0517578125e-05,7.874477856333425e-10,361,0.033915821119879744
15,10644,2.020620182667958e-06,1.52587890625e-05,7.874477856333425e-10,361,0.033915821119879744
16,10644,8.536225643593445e-07,7.62939453125e-06,7.874477856333425e-10,373,0.03504321683577603
17,10644,1.750700580592529e-06,3.814697265625e-06,7.874477856333425e-10,369,0.0346674182638106
18,10644,6.460279962801544e-07,1.9073486328125e-06,7.874477856333425e-10,376,0.03532506576475009
19,10644,6.570814300118225e-07,9.5367431640625e-07,7.874477856333425e-10,380,0.03570086433671552
20,10644,9.523160201587233e-07,4.76837158203125e-07,7.874477856333425e-10,382,0.03588876362269823
21,10644,9.84776367766498e-07,2.384185791015625e-07,7.874477856333425e-10,386,0.03626456219466366
22,10644,7.916475071567203e-07,1.1920928955078125e-07,7.874477856333425e-10,392,0.0368282600526118
23,10644,1.112547062168708e-06,5.960464477539063e-08,7.874477856333425e-10,389,0.03654641112363773
24,10644,1.6522696073883612e-06,2.9802322387695312e-08,7.874477856333425e-10,394,0.03701615933859451
25,10644,1.320374948110308e-06,1.4901161193847656e-08,7.874477856333425e-10,395,0.03711010898158587
