,0,1,2,3,FPR_actual,size
0,34284426350,3531429,29909.0,27.0,3.2159950885246014e-07,3800
1,34284426350,3531429,29909.0,27.0,7.874477862534165e-10,4300
2,34287957779,29909,27.0,,7.874477862534165e-10,4800
3,34287957779,29909,27.0,,7.874477862534165e-10,5300
4,34287987688,27,,,5.833734012626376e-06,5800
5,34287957779,29909,27.0,,7.874477862534165e-10,6300
6,34287987688,27,,,7.874477862534165e-10,6800
7,34287987688,27,,,7.874477862534165e-10,7300
8,34287987688,27,,,7.874477862534165e-10,7800
9,34287987688,27,,,7.874477862534165e-10,8300
10,34287987688,27,,,7.874477862534165e-10,8800
11,34287987688,27,,,7.874477862534165e-10,9300
12,34287987688,27,,,7.874477862534165e-10,9800
13,34287987688,27,,,7.874477862534165e-10,10300
14,34287987688,27,,,7.874477862534165e-10,10800
