,3,7,1,6,5,2,4,10,8,0,FPR_actual,size,9,12
0,73,15,79,25,49,59,52,1,1,2646,0.0004588163890980826,2229,,
1,79,61,101,75,63,69,58,4,46,2412,1.2804994677302436e-05,6229,31.0,1.0
2,76,60,89,86,66,85,60,7,54,2387,7.087757465134625e-07,10229,29.0,1.0
3,76,60,89,86,66,85,60,7,54,2387,3.474446030003386e-07,14229,29.0,1.0
4,76,60,89,86,66,85,60,7,54,2387,9.773025673154941e-09,18229,29.0,1.0
5,76,60,89,86,66,85,60,7,54,2387,1.5703342900288597e-08,22229,29.0,1.0
6,76,60,89,86,66,85,60,7,54,2387,1.144928297030428e-08,26229,29.0,1.0
7,76,60,89,86,66,85,60,7,54,2387,6.485641730483742e-09,26229,29.0,1.0
8,76,60,89,86,66,85,60,7,54,2387,7.586006950084843e-09,26229,29.0,1.0
