,0,1,2,FPR_actual,size
0,7891446287,378637183,11590428,0.0014014886357610124,17313
1,7891446287,378637183,11590428,0.0014014886357610124,18313
2,7891446287,378637183,11590428,0.0014014886357610124,19313
3,7891446287,378637183,11590428,0.0014014886357610124,20313
4,7891446287,378637183,11590428,0.0014014886357610124,21313
5,7891446287,378637183,11590428,0.0014014886357610124,22313
6,7891446287,378637183,11590428,0.0014014886357610124,23313
7,7891446287,378637183,11590428,0.0014014886357610124,24313
8,7891446287,378637183,11590428,0.0014014886357610124,25313
9,7891446287,378637183,11590428,0.0014014886357610124,26313
10,7891446287,378637183,11590428,0.0014014886357610124,27313
11,7891446287,378637183,11590428,0.0014014886357610124,28313
