,1,0,2,FPR_actual,size
0,273,254,2473,0.0014014886357610124,17313
1,273,254,2473,0.0014014886357610124,18313
2,273,254,2473,0.0014014886357610124,19313
3,273,254,2473,0.0014014886357610124,20313
4,273,254,2473,0.0014014886357610124,21313
5,273,254,2473,0.0014014886357610124,22313
6,273,254,2473,0.0014014886357610124,23313
7,273,254,2473,0.0014014886357610124,24313
8,273,254,2473,0.0014014886357610124,25313
9,273,254,2473,0.0014014886357610124,26313
10,273,254,2473,0.0014014886357610124,27313
11,273,254,2473,0.0014014886357610124,28313
