,size,false_positive_rating,model_FP,bloom_FP
0,2802,0.001588418853559416,4277,61782341
1,4302,0.00018121210888421248,4277,7044546
2,5802,2.8526443172833542e-05,4277,1105350
3,7302,1.5509050769896533e-05,4277,598997
4,8802,5.926856785962973e-06,4277,226267
5,10302,5.195845904270727e-06,4277,197832
6,11802,2.6772968257849086e-06,4277,99865
7,13302,1.099537028661064e-07,4277,0
8,14802,1.099537028661064e-07,4277,0
9,16302,1.099537028661064e-07,4277,0
10,17802,1.099537028661064e-07,4277,0
