,1,2,5,4,3,6,7,9,0,FPR_actual,size,8,12,11,10
0,117,97,43,61,81,17,2,1,3581,0.00035142754623247903,2802,,,,
1,156,87,69,82,83,56,46,10,3392,0.00010869442995860846,4302,18.0,1.0,,
2,54,156,93,105,91,86,59,3,3330,8.91365336741008e-05,5802,22.0,,1.0,
3,23,83,106,92,128,95,73,18,3328,2.2333634209988123e-05,7302,52.0,1.0,,1.0
4,47,151,88,107,73,80,61,17,3330,3.3367874794808318e-06,8802,44.0,1.0,,1.0
5,54,156,93,105,91,86,59,3,3330,2.831365530664674e-06,10302,22.0,,1.0,
6,23,83,106,92,128,95,73,18,3328,2.6857289147216526e-07,11802,52.0,1.0,,1.0
7,22,63,98,96,134,88,85,22,3328,1.385668502952973e-07,13302,57.0,1.0,,6.0
8,22,63,98,96,134,88,85,22,3328,8.344860780306771e-08,14802,57.0,1.0,,6.0
9,22,63,98,96,134,88,85,22,3328,1.4080345808299503e-07,16302,57.0,1.0,,6.0
10,22,63,98,96,134,88,85,22,3328,5.313871605943961e-08,17802,57.0,1.0,,6.0
