,0,1,FPR_actual,size
0,34085458130,2826921,8.293627708386034e-05,9000
1,34085458130,2826921,8.293627708386034e-05,10500
2,34085458130,2826921,8.293627708386034e-05,12000
3,34085458130,2826921,8.293627708386034e-05,13500
4,34085458130,2826921,8.293627708386034e-05,15000
5,34085458130,2826921,8.293627708386034e-05,16500
6,34085458130,2826921,8.293627708386034e-05,18000
7,34085458130,2826921,8.293627708386034e-05,19500
8,34085458130,2826921,8.293627708386034e-05,21000
9,34085458130,2826921,8.293627708386034e-05,22500
10,34085458130,2826921,8.293627708386034e-05,24000
