,size,false_positive_rating,model_FP,bloom_FP
0,9000,3.4508748610913924e-06,117634,0
1,10500,3.4508748610913924e-06,117634,0
2,12000,3.4508748610913924e-06,117634,0
3,13500,3.4508748610913924e-06,117634,0
4,15000,3.4508748610913924e-06,117634,0
5,16500,3.4508748610913924e-06,117634,0
6,18000,3.4508748610913924e-06,117634,0
7,19500,3.4508748610913924e-06,117634,0
8,21000,3.4508748610913924e-06,117634,0
9,22500,3.4508748610913924e-06,117634,0
10,24000,3.4508748610913924e-06,117634,0
