,0,1,2,4,3,5,FPR_actual,size
0,391,62,144.0,42.0,32.0,2329.0,0.00015699185255595163,17313
1,391,238,42.0,,2329.0,,0.00015699185255595163,18313
2,391,238,42.0,,2329.0,,0.00015699185255595163,19313
3,629,42,2329.0,,,,0.00015699185255595163,20313
4,629,42,2329.0,,,,0.00015699185255595163,21313
5,671,2329,,,,,0.00015699185255595163,22313
6,671,2329,,,,,0.00015699185255595163,23313
7,671,2329,,,,,0.00015699185255595163,24313
8,671,2329,,,,,0.00015699185255595163,25313
9,671,2329,,,,,0.00015699185255595163,26313
10,671,2329,,,,,0.00015699185255595163,27313
11,671,2329,,,,,0.00015699185255595163,28313
