,size,false_positive_rating,num_regions,optimal_c
0,3800,1.6049352473157595e-07,11,2.400000000000001
1,4300,1.0482679919002425e-06,11,2.500000000000001
2,4800,2.919389755702481e-08,11,2.400000000000001
3,5300,9.10231311443301e-08,11,2.400000000000001
4,5800,1.4588199358665146e-07,11,2.500000000000001
5,6300,2.919389755702481e-08,11,2.400000000000001
6,6800,2.919389755702481e-08,11,2.500000000000001
7,7300,5.838779511404962e-08,11,2.500000000000001
8,7800,4.963837526678944e-08,11,2.500000000000001
9,8300,8.758169267107443e-08,11,2.500000000000001
10,8800,8.758169267107443e-08,11,2.400000000000001
11,9300,1.3719090320503967e-07,11,2.500000000000001
12,9800,4.170556793860687e-08,11,2.400000000000001
13,10300,0.0,11,2.400000000000001
14,10800,0.0,11,2.400000000000001
