,9,7,6,8,4,5,3,2,1,0,FPR_actual,size
0,31104721949,768614489,256291212,2039893967,21888488,92469827,3578592,499255,29909,0,1.6049352473157595e-07,3800
1,31104721949,768614489,267649527,2039893967,18352583,85961346,2533330,230588,29909,0,1.0482679919002425e-06,4300
2,31104721949,768614489,256291212,2039893967,21888488,92469827,3578592,499255,29909,0,2.919389755702481e-08,4800
3,31104721949,768614489,256291212,2039893967,21888488,92469827,3578592,499255,29909,0,9.10231311443301e-08,5300
4,31104721949,768614489,267649527,2039893967,18352583,85961346,2533330,230588,29909,0,1.4588199358665146e-07,5800
5,31104721949,768614489,256291212,2039893967,21888488,92469827,3578592,499255,29909,0,2.919389755702481e-08,6300
6,31104721949,768614489,267649527,2039893967,18352583,85961346,2533330,230588,29909,0,2.919389755702481e-08,6800
7,31104721949,768614489,267649527,2039893967,18352583,85961346,2533330,230588,29909,0,5.838779511404962e-08,7300
8,31104721949,768614489,267649527,2039893967,18352583,85961346,2533330,230588,29909,0,4.963837526678944e-08,7800
9,31104721949,768614489,267649527,2039893967,18352583,85961346,2533330,230588,29909,0,8.758169267107443e-08,8300
10,31104721949,768614489,256291212,2039893967,21888488,92469827,3578592,499255,29909,0,8.758169267107443e-08,8800
11,31104721949,768614489,267649527,2039893967,18352583,85961346,2533330,230588,29909,0,1.3719090320503967e-07,9300
12,31104721949,768614489,256291212,2039893967,21888488,92469827,3578592,499255,29909,0,4.170556793860687e-08,9800
13,31104721949,768614489,256291212,2039893967,21888488,92469827,3578592,499255,29909,0,0.0,10300
14,31104721949,768614489,256291212,2039893967,21888488,92469827,3578592,499255,29909,0,0.0,10800
