,0,1,2,3,FPR_actual,size
0,34284426350,3531429,29909.0,0.0,3.208120610662067e-07,3800
1,34284426350,3531429,29909.0,0.0,0.0,4300
2,34287957779,29909,0.0,,0.0,4800
3,34287957779,29909,0.0,,0.0,5300
4,34287987688,0,,,5.8329465648401224e-06,5800
5,34287957779,29909,0.0,,0.0,6300
6,34287987688,0,,,0.0,6800
7,34287987688,0,,,0.0,7300
8,34287987688,0,,,0.0,7800
9,34287987688,0,,,0.0,8300
10,34287987688,0,,,0.0,8800
11,34287987688,0,,,0.0,9300
12,34287987688,0,,,0.0,9800
13,34287987688,0,,,0.0,10300
14,34287987688,0,,,0.0,10800
