,2,3,0,1,5,4,6,7,FPR_actual,size
0,95,50.0,254,29,32.0,27.0,40.0,2473.0,0.00023166666666666667,2680
1,95,50.0,254,29,32.0,27.0,40.0,2473.0,0.00023166666666666667,5680
2,50,27.0,254,124,40.0,32.0,2473.0,,5.266666666666667e-05,8680
3,77,32.0,254,124,2473.0,40.0,,,3.933333333333333e-05,11680
4,2473,,254,273,,,,,3.866666666666667e-05,14680
5,2473,,254,273,,,,,3.866666666666667e-05,17680
6,2473,,254,273,,,,,3.866666666666667e-05,20680
7,2473,,254,273,,,,,3.866666666666667e-05,23680
8,2473,,254,273,,,,,3.866666666666667e-05,26680
