,0,1,3,2,4,FPR_actual,size
0,33757825214,6922569,704096,660510,27248,8.069629007358452e-07,11000
1,33757825214,6922569,704096,660510,27248,8.069629007358452e-07,12500
2,33757825214,6922569,704096,660510,27248,8.069629007358452e-07,14000
3,33757825214,6922569,704096,660510,27248,8.069629007358452e-07,15500
4,33757825214,6922569,704096,660510,27248,8.069629007358452e-07,17000
5,33757825214,6922569,704096,660510,27248,8.069629007358452e-07,18500
6,33757825214,6922569,704096,660510,27248,8.069629007358452e-07,20000
7,33757825214,6922569,704096,660510,27248,8.069629007358452e-07,21500
8,33757825214,6922569,704096,660510,27248,8.069629007358452e-07,23000
9,33757825214,6922569,704096,660510,27248,8.069629007358452e-07,24500
10,33757825214,6922569,704096,660510,27248,8.069629007358452e-07,26000
