,3,0,2,1,4,FPR_actual,size
0,143,59,240,100,2915,8.069629007358452e-07,11000
1,143,59,240,100,2915,8.069629007358452e-07,12500
2,143,59,240,100,2915,8.069629007358452e-07,14000
3,143,59,240,100,2915,8.069629007358452e-07,15500
4,143,59,240,100,2915,8.069629007358452e-07,17000
5,143,59,240,100,2915,8.069629007358452e-07,18500
6,143,59,240,100,2915,8.069629007358452e-07,20000
7,143,59,240,100,2915,8.069629007358452e-07,21500
8,143,59,240,100,2915,8.069629007358452e-07,23000
9,143,59,240,100,2915,8.069629007358452e-07,24500
10,143,59,240,100,2915,8.069629007358452e-07,26000
