,size,false_positive_rating,num_regions,optimal_c,model_FP,bloom_FP
0,11000,3.2119480842375987e-06,12,2.3000000000000007,27248,81207
1,12500,2.620260188105719e-06,11,2.400000000000001,27248,61228
2,14000,3.076042595707182e-06,11,2.400000000000001,27248,76618
3,15500,2.0161634012145797e-06,11,2.400000000000001,27248,40830
4,17000,2.1458200211287583e-06,11,2.400000000000001,27248,45208
5,18500,1.7454185818323463e-06,11,2.400000000000001,27248,31688
6,20000,2.2549827212209603e-06,11,2.400000000000001,27248,48894
7,21500,1.687846067187951e-06,11,2.500000000000001,27248,29744
8,23000,1.6958422497774504e-06,11,2.400000000000001,27248,30014
9,24500,1.8480066429065157e-06,11,2.500000000000001,27248,35152
10,26000,1.207364340032257e-06,12,2.2000000000000006,27248,13520
