,10,9,8,5,7,12,11,6,4,3,1,2,0,FPR_actual,size
0,5995857992,1731439157,763208981,52383154,412985997,5322821580.0,19341795768,127598539,12824910,3831705,620824,743782,27248,3.2119480842375987e-06,11000
1,19341795768,6850175737,1364907609,93510449,538740137,,5322821580,222665677,26299121,3831705,620824,743782,27248,2.620260188105719e-06,12500
2,19341795768,6850175737,1364907609,93510449,538740137,,5322821580,222665677,26299121,3831705,620824,743782,27248,3.076042595707182e-06,14000
3,19341795768,6850175737,1364907609,93510449,538740137,,5322821580,222665677,26299121,3831705,620824,743782,27248,2.0161634012145797e-06,15500
4,19341795768,6850175737,1364907609,93510449,538740137,,5322821580,222665677,26299121,3831705,620824,743782,27248,2.1458200211287583e-06,17000
5,19341795768,6850175737,1364907609,93510449,538740137,,5322821580,222665677,26299121,3831705,620824,743782,27248,1.7454185818323463e-06,18500
6,19341795768,6850175737,1364907609,93510449,538740137,,5322821580,222665677,26299121,3831705,620824,743782,27248,2.2549827212209603e-06,20000
7,19341795768,6771294739,1456813813,76807309,551583983,,5322821580,218141072,21657814,3831705,620824,743782,27248,1.687846067187951e-06,21500
8,19341795768,6850175737,1364907609,93510449,538740137,,5322821580,222665677,26299121,3831705,620824,743782,27248,1.6958422497774504e-06,23000
9,19341795768,6771294739,1456813813,76807309,551583983,,5322821580,218141072,21657814,3831705,620824,743782,27248,1.8480066429065157e-06,24500
10,5527262274,2035539471,900485821,70815864,377251931,5322821580.0,19341795768,163285555,21657814,3693215,620824,882272,27248,1.207364340032257e-06,26000
